power_W,speed_mm_s,focus_depth_um,absorptivity,T_peak_K,haz_radius_um,penetration_depth_um,throughput_proxy,kerf_quality,above_damage_thr,below_melt
25.0,100.0,75.0,0.45,3137.2321676352863,6.559372802706953,32.796864013534766,15.245360037888306,1.0,True,False
25.0,100.0,100.0,0.25,1876.2400931307145,3.6927006810443914,18.463503405221957,27.08045104043402,0.25032607660060846,True,True
25.0,100.0,100.0,0.35,2506.7361303830007,5.519026195883325,27.595130979416624,18.119138494865382,0.6698177846859619,True,True
25.0,100.0,100.0,0.45,3137.2321676352863,6.559372802706953,32.796864013534766,15.245360037888306,1.0,True,False
25.0,100.0,125.0,0.25,1876.2400931307145,3.6927006810443914,18.463503405221957,27.08045104043402,0.25032607660060846,True,True
25.0,100.0,125.0,0.35,2506.7361303830007,5.519026195883325,27.595130979416624,18.119138494865382,0.6698177846859619,True,True
25.0,100.0,125.0,0.45,3137.2321676352863,6.559372802706953,32.796864013534766,15.245360037888306,1.0,True,False
25.0,100.0,150.0,0.25,1876.2400931307145,3.6927006810443914,18.463503405221957,27.08045104043402,0.25032607660060846,True,True
25.0,100.0,150.0,0.35,2506.7361303830007,5.519026195883325,27.595130979416624,18.119138494865382,0.6698177846859619,True,True
25.0,100.0,150.0,0.45,3137.2321676352863,6.559372802706953,32.796864013534766,15.245360037888306,1.0,True,False
25.0,200.0,50.0,0.25,1693.825158472924,2.736149880216325,13.680749401081624,73.09541098099042,0.12895885460607048,True,True
25.0,200.0,50.0,0.35,2251.3552218620935,4.930530194418087,24.652650972090434,40.56358892729679,0.4999036738936084,True,True
25.0,200.0,50.0,0.45,2808.8852852512628,6.072548839829429,30.362744199147148,32.9350994574492,0.8708484931811462,True,True
25.0,200.0,75.0,0.25,1693.825158472924,2.736149880216325,13.680749401081624,73.09541098099042,0.12895885460607048,True,True
25.0,200.0,75.0,0.35,2251.3552218620935,4.930530194418087,24.652650972090434,40.56358892729679,0.4999036738936084,True,True
25.0,200.0,75.0,0.45,2808.8852852512628,6.072548839829429,30.362744199147148,32.9350994574492,0.8708484931811462,True,True
25.0,200.0,100.0,0.25,1693.825158472924,2.736149880216325,13.680749401081624,73.09541098099042,0.12895885460607048,True,True
25.0,200.0,100.0,0.35,2251.3552218620935,4.930530194418087,24.652650972090434,40.56358892729679,0.4999036738936084,True,True
25.0,200.0,100.0,0.45,2808.8852852512628,6.072548839829429,30.362744199147148,32.9350994574492,0.8708484931811462,True,True
25.0,200.0,125.0,0.25,1693.825158472924,2.736149880216325,13.680749401081624,73.09541098099042,0.12895885460607048,True,True
25.0,200.0,125.0,0.35,2251.3552218620935,4.930530194418087,24.652650972090434,40.56358892729679,0.4999036738936084,True,True
25.0,200.0,125.0,0.45,2808.8852852512628,6.072548839829429,30.362744199147148,32.9350994574492,0.8708484931811462,True,True
25.0,200.0,150.0,0.25,1693.825158472924,2.736149880216325,13.680749401081624,73.09541098099042,0.12895885460607048,True,True
