material,route,street_width_um,wafer_thickness_um,lowk_stack_um,groove_power_W,groove_speed_mm_s,groove_passes,stealth_power_W,stealth_speed_mm_s,stealth_focal_depth_um,stealth_layers,plasma_pressure_mTorr,plasma_etch_rate_um_min,blade_feed_mm_s,blade_W_um,mat_K_Ic_MPa,mat_H_GPa,mat_E_GPa,mat_k_thermal,mat_sigma_flex_MPa,a_kerf_um,a_chip_um,a_haz_um,a_lowk_cleared_um,a_wph,b_method,b_kerf_um,b_chip_um,b_haz_um,b_ssd_um,b_residual_MPa,b_wph,feasible,n_violations,die_strength_MPa,total_chipping_um,max_haz_um,governing_crack_um,throughput_wph,residual_stress_MPa
Si,laser+stealth,20.0,80.0,2.0,39.22298066984601,375.3308713975209,3,5.9143332705095055,250.03340504237838,60.74827184205992,2,20.0,8.0,80.0,23.0,0.83,10.0,130.0,148.0,200.0,19.284,1.0490496,1.8,0.728,13.284364701553635,stealth,2.106,0.266,0.0024,0.07980000000000001,1.69,13.27607652000021,0,2,200.0,1.0490496,1.8,0.9,6.64010965880702,5.5432
Si,laser+stealth,20.0,80.0,2.0,32.851094827181164,346.54513461439785,4,7.917495934507921,312.86081193320604,70.4456210193362,3,20.0,8.0,80.0,23.0,0.83,10.0,130.0,148.0,200.0,19.052,1.0364288000000001,1.7999999999999998,0.987,9.694182839205281,stealth,2.366,0.262,0.0036,0.1216,1.69,11.388059943547853,0,2,200.0,1.0364288000000001,1.7999999999999998,0.8999999999999999,5.2365365684383685,5.5432
Si,laser+stealth,20.0,80.0,2.0,17.211477444502183,201.55226692713808,2,3.9444285932910814,493.2093803337008,50.041301560452546,3,20.0,8.0,80.0,23.0,0.83,10.0,130.0,148.0,200.0,18.184,0.9892096000000001,1.7999999999999998,0.589,11.05767340395492,stealth,2.28,0.329,0.0035,0.1172,1.69,16.591258757555423,0,2,200.0,0.9892096000000001,1.7999999999999998,0.8999999999999999,6.635363696141135,5.5432
Si,laser+stealth,20.0,80.0,2.0,26.176286942720203,157.15368485772484,2,6.2134297015687245,439.5882027330537,55.114195236829104,2,20.0,8.0,80.0,23.0,0.83,10.0,130.0,148.0,200.0,18.752,1.0201088,1.7999999999999998,0.71,8.892613579185742,stealth,2.111,0.286,0.0024,0.08000000000000002,1.69,20.732538868222573,0,2,200.0,1.0201088,1.7999999999999998,0.8999999999999999,6.223308285007023,5.5432
Si,laser+stealth,20.0,80.0,2.0,30.22543042202691,149.3772399152165,6,5.10435353197285,286.182388164589,81.18420531055429,2,20.0,8.0,80.0,23.0,0.83,10.0,130.0,148.0,200.0,18.943,1.0304992000000002,1.7999999999999994,2.228,3.0490685807555846,stealth,2.089,0.197,0.0024,0.0792,1.69,14.83944933355318,0,1,200.0,1.0304992000000002,1.7999999999999994,0.8999999999999997,2.529359834917312,5.543199999999998
Si,laser+stealth,20.0,80.0,2.0,19.795847184509846,165.6615361494849,3,2.969904476496003,419.5621312810473,67.77451808241145,1,20.0,8.0,80.0,23.0,0.83,10.0,130.0,148.0,200.0,18.376,0.9996544000000002,1.7999999999999998,0.996,6.462894856888274,stealth,1.705,0.196,0.0012,0.038400000000000004,1.69,32.03129108084984,0,2,200.0,0.9996544000000002,1.7999999999999998,0.8999999999999999,5.377821646124664,5.5432
Si,laser+stealth,20.0,80.0,2.0,39.398304871491106,219.9547813334713,2,5.389296317030301,214.7582275318926,64.28242244514641,3,20.0,8.0,80.0,23.0,0.83,10.0,130.0,148.0,200.0,19.289,1.0493216,1.8,0.635,11.916889960380116,stealth,2.319,0.279,0.0036,0.1192,1.69,8.182380875657888,0,2,200.0,1.0493216,1.8,0.9,4.851346763003008,5.5432
Si,laser+stealth,20.0,80.0,2.0,32.39264329493596,139.2894953101723,5,4.144240252124072,399.39643494057503,57.488714183204195,3,20.0,8.0,80.0,23.0,0.83,10.0,130.0,148.0,200.0,19.034,1.0354496,1.8,1.941,3.3963913115714717,stealth,2.286,0.301,0.0035,0.1174,1.69,13.987211435133544,0,2,200.0,1.0354496,1.8,0.9,2.7328076972079485,5.5432
Si,laser+stealth,20.0,80.0,2.0,30.165387832697995,398.6030653390536,6,4.834747938705954,473.4625014173782,77.83493683098695,3,20.0,8.0,80.0,23.0,0.83,10.0,130.0,148.0,200.0,18.94,1.0303360000000001,1.8,1.364,7.649786786701316,stealth,2.305,0.229,0.0036,0.1184,1.69,16.060341555485053,0,2,200.0,1.0303360000000001,1.8,0.9,5.181675394074673,5.5432
Si,laser+stealth,20.0,80.0,2.0,25.489493494270558,123.70861821227147,6,5.56341302433783,173.44035398560217,40.570472235798576,2,20.0,8.0,80.0,23.0,0.83,10.0,130.0,148.0,200.0,18.717,1.0182048,1.8000000000000003,2.39,2.5417708864579933,stealth,2.099,0.339,0.0024,0.0796,1.69,9.702431609101671,0,1,200.0,1.0182048,1.8000000000000003,0.9000000000000001,2.014125313658264,5.5432
