material,process,mat_k_thermal,mat_E_GPa,mat_cte,power_W,speed_mm_s,beam_radius_um,blade_W_um,cut_depth_um,peak_T_C,groove_depth_um,haz_depth_um,haz_excess_um,haz_width_um,haz_volume_um3,haz_volume_frac,ablated_volume_um3,max_grad_C_per_um,max_thermal_stress_MPa,crack_risk_volume_um3,crack_risk_frac,n_steps
Si,laser,148.0,130.0,2.6e-06,19.436831552175782,133.86270145202468,4.706919253366003,23.0,60.0,2000.0,5.0,10.0,5.0,25.0,2250.0,0.00142,125.0,395.0,927.15,4375.0,0.002762,1151
Si,laser,148.0,130.0,2.6e-06,33.52041828428317,239.80190553923845,4.25061276270689,23.0,60.0,2000.0,5.0,10.0,5.0,15.0,1625.0,0.001026,125.0,395.0,927.15,3000.0,0.001894,351
Si,laser,148.0,130.0,2.6e-06,15.981882583096901,210.42655723109948,3.9969647730444944,23.0,60.0,2000.0,5.0,10.0,5.0,15.0,2000.0,0.001263,125.0,395.0,927.15,3625.0,0.002289,801
Si,laser,148.0,130.0,2.6e-06,21.77403055368977,311.4377456632137,5.202699095641699,23.0,60.0,2000.0,5.0,15.0,10.0,25.0,3625.0,0.002289,250.0,368.928,927.15,6625.0,0.004182,651
Si,laser,148.0,130.0,2.6e-06,9.67992317080997,298.1694241711457,5.906004061636777,23.0,60.0,1267.55,0.0,15.0,15.0,25.0,3875.0,0.002446,0.0,99.819,583.31,10000.0,0.006313,6751
Si,laser,148.0,130.0,2.6e-06,35.934146663964185,281.32419118346365,3.3748837473245503,23.0,60.0,2000.0,5.0,15.0,10.0,15.0,1500.0,0.000947,250.0,395.0,927.15,2750.0,0.001736,351
Si,laser,148.0,130.0,2.6e-06,24.638815272827966,326.46428396118404,3.4712600781482896,23.0,60.0,2000.0,5.0,10.0,5.0,15.0,1250.0,0.000789,125.0,395.0,927.15,2750.0,0.001736,351
Si,laser,148.0,130.0,2.6e-06,18.33545360062838,295.9013843736647,6.755788819963342,23.0,60.0,2000.0,5.0,15.0,10.0,35.0,9750.0,0.006155,125.0,157.543,927.15,18875.0,0.011916,1851
Si,laser,148.0,130.0,2.6e-06,23.168348579396717,381.3657240696363,5.22624058588244,23.0,60.0,2000.0,5.0,15.0,10.0,25.0,3625.0,0.002289,250.0,395.0,927.15,6625.0,0.004182,501
Si,laser,148.0,130.0,2.6e-06,9.380174832160682,324.85627490238574,7.815599085337414,23.0,60.0,1000.6,0.0,10.0,10.0,25.0,3375.0,0.002131,0.0,68.804,457.99,9500.0,0.005997,6201
Si,laser,148.0,130.0,2.6e-06,15.332646052130032,216.73026426293214,3.699462429478695,23.0,60.0,2000.0,5.0,10.0,5.0,15.0,1375.0,0.000868,125.0,395.0,927.15,3000.0,0.001894,701
Si,laser,148.0,130.0,2.6e-06,38.59113351481699,371.63419186896783,7.871822723223966,23.0,60.0,2000.0,5.0,15.0,10.0,35.0,5875.0,0.003709,250.0,395.0,927.15,10500.0,0.006629,351
Si,laser,148.0,130.0,2.6e-06,34.24632998479212,269.56738103135865,3.5389184798315103,23.0,60.0,2000.0,5.0,10.0,5.0,15.0,1375.0,0.000868,250.0,395.0,927.15,2750.0,0.001736,351
Si,laser,148.0,130.0,2.6e-06,26.419270737474633,180.5845860608713,5.489510354304239,23.0,60.0,2000.0,5.0,10.0,5.0,25.0,2750.0,0.001736,125.0,395.0,927.15,5375.0,0.003393,701
Si,laser,148.0,130.0,2.6e-06,31.76336364414415,169.2799677968209,7.461917184835874,23.0,60.0,2000.0,5.0,15.0,10.0,35.0,5625.0,0.003551,125.0,377.262,927.15,11000.0,0.006944,1001
Si,laser,148.0,130.0,2.6e-06,21.335987882881945,236.83289439496335,3.6509661310285852,23.0,60.0,2000.0,5.0,10.0,5.0,15.0,1375.0,0.000868,125.0,395.0,927.15,2625.0,0.001657,501
Si,laser,148.0,130.0,2.6e-06,39.03844980427437,331.93639219191664,4.814753770923886,23.0,60.0,2000.0,5.0,15.0,10.0,25.0,3000.0,0.001894,125.0,395.0,927.15,5625.0,0.003551,351
